"CASE" "YEAR" "AGE" "EVNO" "SUPR" "HRS" "NOEM" "SEX1" "TU" "PROM" "SC80"
"50" 26 68 30 11 2 6 "5" 2 0 1 "31"
"51" 26 70 32 12 1 6 "5" 2 0 1 "20"
"52" 26 71 33 13 1 6 "4" 3 0 1 "20"
"53" 26 73 35 14 1 6 "4" 3 0 1 "10"
"54" 26 75 37 15 1 8 "4" 3 0 1 "20"
"55" 26 80 42 16 1 8 "4" 3 0 1 "20"
"56" 26 83 45 17 1 8 "4" 3 0 1 "20"
"57" 28 54 16 1 2 7 "3" 2 0 1 "31"
"58" 28 59 21 2 2 4 "2" 1 1 1 "31"
"59" 32 46 14 1 2 7 "4" 1 0 1 "50"
"60" 32 48 16 2 2 7 "5" 2 0 1 "50"
"61" 32 53 21 4 2 7 "4" 1 0 1 "50"
"62" 32 53 21 5 2 7 "4" 2 0 1 "40"
"63" 32 54 22 6 2 6 "2" 1 1 1 "50"
"64" 32 62 30 7 2 6 "3" 1 0 1 "40"
"65" 32 65 33 8 8 6 "3" 1 0 2 "31"
"66" 32 67 35 9 2 6 "3" 1 0 2 "31"
"67" 32 68 36 10 2 6 "3" 1 0 2 "31"
"68" 32 70 38 11 2 6 "4" 1 0 2 "31"
"69" 43 80 16 1 2 6 "4" 2 0 1 "32"
"70" 43 81 17 3 2 6 "2" 1 0 2 "32"
"71" 43 83 19 5 2 4 "3" 1 1 1 "40"
"72" 43 84 20 6 2 6 "2" 3 0 1 "31"
"73" 43 85 21 8 2 6 "3" 1 1 2 "40"
"74" 46 81 17 2 2 6 "2" 1 0 2 "50"
"75" 46 83 19 3 2 6 "2" 1 0 1 "32"
"76" 46 85 21 4 2 6 "2" 1 0 1 "32"
"77" 47 47 16 1 2 6 "5" 1 1 1 "31"
"78" 47 55 24 2 1 6 "5" 1 1 1 "31"
"79" 47 61 30 3 2 6 "5" 1 0 1 "10"
"80" 47 65 34 4 1 6 "5" 1 0 1 "20"
"81" 47 74 43 5 1 6 "4" 1 0 1 "20"
"82" 47 80 49 6 1 6 "4" 1 0 2 "20"
"83" 47 83 52 8 1 6 "4" 1 0 2 "20"
"84" 51 63 21 1 1 8 "4" 1 0 1 "20"
"85" 51 65 23 2 2 6 "5" 1 0 1 "20"
"86" 51 72 30 3 1 6 "3" 1 1 2 "10"
"87" 57 73 16 1 2 6 "2" 1 0 2 "32"
"88" 57 74 17 2 2 6 "3" 3 0 1 "32"
"89" 57 76 19 3 2 6 "5" 1 1 2 "50"
"90" 57 78 21 4 1 6 "4" 1 1 1 "32"
"91" 60 57 19 1 2 6 "4" 1 0 1 "20"
"92" 60 60 22 3 1 6 "4" 1 0 2 "20"
"93" 60 64 26 5 1 6 "5" 1 1 1 "32"
"94" 60 66 28 6 1 6 "5" 1 1 1 "32"
"95" 64 84 20 2 2 6 "3" 2 1 1 "31"
"96" 64 86 22 3 2 6 "3" 2 1 1 "31"
"97" 67 81 15 1 2 6 "2" 1 0 2 "50"
"98" 67 81 15 3 2 9 "2" 1 0 2 "40"
"99" 67 82 16 4 2 9 "2" 1 0 1 "40"
"100" 69 56 14 1 2 7 "2" 1 1 2 "32"
"101" 69 60 18 2 2 7 "2" 1 1 2 "32"
"102" 69 61 19 3 2 7 "2" 1 1 2 "32"
"103" 69 62 20 4 2 7 "2" 1 1 2 "32"
"104" 69 65 23 5 2 6 "2" 1 1 2 "32"
"105" 69 70 28 6 2 7 "2" 1 1 2 "32"
"106" 69 73 31 7 2 7 "2" 1 1 2 "32"
"107" 69 76 34 8 2 7 "1" 4 1 2 "32"
"108" 71 77 17 1 2 7 "3" 2 0 2 "31"
"109" 71 78 18 2 2 6 "4" 2 1 1 "31"
"110" 71 79 19 3 2 6 "4" 3 1 1 "31"
"111" 71 80 20 4 1 6 "4" 3 1 1 "31"
"112" 74 81 16 2 2 4 "3" 1 0 1 "40"
"113" 74 83 18 4 2 6 "4" 1 1 1 "40"
"114" 74 86 21 6 8 4 "2" 1 1 1 "50"
"115" 75 74 16 1 2 6 "2" 3 0 1 "31"
"116" 75 75 17 2 2 6 "2" 3 0 1 "31"
"117" 75 78 20 3 1 6 "2" 3 0 1 "31"
"118" 75 79 21 4 1 6 "2" 3 1 1 "31"
"119" 75 85 27 5 1 6 "2" 3 0 1 "20"
"120" 77 78 16 1 2 4 "2" 1 0 2 "40"
"121" 77 78 16 2 2 6 "5" 2 1 2 "31"
"122" 77 82 20 3 2 8 "2" 2 0 1 "31"
"123" 77 83 21 4 1 8 "2" 2 0 1 "31"
"124" 79 59 16 1 2 7 "4" 3 1 2 "50"
"125" 79 60 17 2 2 6 "5" 1 0 1 "32"
"126" 79 70 27 7 2 6 "2" 1 0 1 "32"
"127" 79 72 29 8 2 6 "2" 2 0 2 "31"
"128" 79 73 30 10 2 6 "2" 2 0 2 "32"
"129" 79 73 30 11 2 6 "3" 2 0 1 "32"
"130" 79 73 30 12 2 6 "3" 2 0 1 "32"
"131" 79 75 32 13 2 6 "3" 2 0 1 "32"
"132" 79 76 33 14 8 6 "2" 1 0 1 "32"
"133" 81 44 14 1 2 7 "2" 2 0 2 "40"
"134" 81 46 16 2 2 7 "4" 1 1 1 "32"
"135" 81 52 22 4 2 7 "4" 1 0 1 "40"
"136" 81 53 23 5 2 7 "4" 1 0 1 "32"
"137" 81 53 23 6 2 7 "2" 1 0 2 "32"
"138" 81 53 23 7 1 7 "2" 1 0 2 "32"
"139" 81 63 33 8 2 8 "2" 2 0 2 "31"
"140" 81 64 34 9 1 6 "2" 1 0 2 "32"
"141" 81 66 36 11 2 6 "2" 1 0 1 "32"
"142" 81 67 37 12 1 6 "2" 1 0 2 "32"
"143" 81 77 47 13 2 7 "4" 1 0 1 "32"
"144" 81 77 47 15 2 6 "2" 1 0 2 "32"
"145" 81 77 47 16 2 6 "5" 1 1 1 "20"
"146" 81 83 53 17 1 6 "5" 1 1 2 "20"
"147" 84 53 15 1 2 6 "2" 1 0 1 "32"
"148" 84 56 18 2 2 9 "4" 1 0 1 "32"
"149" 84 57 19 3 1 9 "4" 1 0 1 "32"
"150" 84 59 21 4 2 8 "2" 1 0 2 "32"
"151" 84 63 25 5 2 6 "2" 1 0 1 "32"
"152" 84 65 27 6 1 6 "2" 1 0 1 "32"
"153" 84 71 33 8 1 7 "2" 1 0 1 "32"
"154" 84 71 33 9 1 6 "2" 1 0 1 "20"
"155" 84 74 36 10 1 7 "2" 1 0 1 "20"
"156" 84 77 39 11 2 9 "3" 1 1 2 "10"
"157" 84 78 40 13 2 9 "3" 1 1 2 "10"
"158" 84 79 41 15 2 9 "3" 1 1 2 "10"
"159" 84 80 42 17 2 9 "2" 1 1 2 "32"
"160" 84 82 44 19 2 9 "2" 1 1 2 "10"
"161" 84 84 46 20 2 9 "3" 1 1 2 "10"
"162" 87 70 14 2 2 7 "4" 2 0 1 "32"
"163" 87 71 15 4 2 7 "3" 1 0 1 "40"
"164" 87 73 17 6 2 7 "5" 2 0 1 "40"
"165" 87 73 17 8 2 8 "2" 1 0 2 "32"
"166" 88 68 15 1 2 6 "3" 3 0 1 "40"
"167" 88 74 21 3 2 6 "3" 1 0 2 "32"
"168" 88 74 21 5 2 6 "5" 1 0 1 "40"
"169" 88 76 23 7 2 6 "4" 2 0 1 "40"
"170" 91 78 16 1 2 5 "2" 1 0 1 "40"
"171" 91 83 21 2 1 5 "2" 1 0 2 "32"
"172" 93 81 15 2 2 7 "3" 3 0 2 "40"
"173" 96 51 15 1 2 8 "4" 1 1 2 "40"
"174" 96 51 15 2 2 9 "2" 1 1 1 "50"
"175" 96 53 17 3 1 9 "2" 1 1 1 "32"
"176" 96 56 20 4 2 7 "5" 1 1 1 "40"
"177" 96 60 24 7 2 9 "2" 1 0 2 "31"
"178" 96 61 25 8 2 8 "2" 1 0 2 "32"
"179" 96 64 28 9 1 9 "3" 1 1 2 "32"
"180" 96 66 30 10 1 8 "2" 1 1 1 "32"
"181" 96 83 47 11 1 8 "2" 1 1 1 "32"
"182" 97 64 14 1 2 6 "5" 2 0 1 "32"
"183" 97 65 15 2 2 8 "4" 2 0 1 "32"
"184" 97 68 18 3 1 8 "4" 2 0 1 "32"
"185" 97 69 19 4 1 6 "4" 2 0 2 "32"
"186" 97 70 20 5 2 9 "5" 2 0 1 "32"
"187" 97 71 21 6 2 1 "4" 2 0 2 "32"
"188" 97 73 23 7 2 9 "2" 1 0 1 "32"
"189" 97 74 24 8 1 9 "2" 1 0 2 "20"
"190" 97 86 36 9 1 9 "2" 1 0 2 "20"
"191" 102 63 17 2 2 6 "2" 2 0 2 "32"
"192" 102 67 21 3 2 7 "5" 1 1 1 "32"
"193" 102 79 33 4 1 6 "4" 1 1 1 "20"
"194" 102 81 35 5 1 6 "5" 1 1 1 "20"
"195" 102 84 38 6 1 6 "5" 1 1 1 "20"
"196" 102 85 39 7 1 6 "5" 1 1 1 "20"
"197" 104 69 16 1 2 6 "5" 1 1 1 "20"
"198" 104 74 21 2 1 6 "5" 1 1 1 "20"
"199" 104 75 22 3 2 6 "5" 1 1 1 "20"
"200" 104 77 24 4 1 6 "5" 2 1 2 "20"
"201" 105 59 18 1 2 6 "2" 1 0 2 "10"
"202" 105 78 37 5 1 7 "5" 1 0 2 "20"
"203" 107 80 22 1 1 8 "3" 2 0 1 "20"
"204" 107 82 24 2 1 9 "3" 2 0 1 "20"
"205" 107 85 27 3 1 7 "3" 2 0 2 "20"
"206" 107 85 27 4 1 9 "3" 2 0 1 "20"
"207" 109 81 16 1 2 6 "2" 1 0 1 "31"
"208" 109 81 16 3 2 6 "3" 1 0 2 "40"
"209" 109 81 16 4 2 6 "2" 1 0 2 "32"
"210" 109 82 17 6 2 6 "2" 1 0 2 "32"
"211" 109 83 18 8 2 4 "5" 1 0 1 "40"
"212" 109 84 19 9 2 6 "2" 1 0 2 "40"
"213" 109 85 20 11 2 6 "3" 1 0 2 "40"
"214" 110 78 16 1 2 6 "5" 1 0 2 "10"
"215" 110 82 20 2 1 6 "4" 1 0 1 "31"
"216" 110 85 23 3 1 6 "4" 1 0 1 "20"
"217" 111 65 17 1 2 6 "5" 1 0 1 "32"
"218" 111 67 19 2 2 6 "5" 1 0 2 "31"
"219" 111 67 19 3 2 5 "3" 1 0 2 "31"
"220" 111 70 22 4 2 6 "5" 1 0 1 "31"
"221" 111 72 24 5 2 6 "5" 1 0 1 "31"
"222" 111 74 26 6 2 6 "5" 1 0 1 "31"
"223" 111 80 32 7 2 6 "5" 1 1 2 "31"
"224" 111 84 36 8 2 6 "5" 1 1 2 "31"
"225" 115 80 15 2 2 6 "2" 2 0 2 "32"
"226" 115 85 20 4 2 6 "4" 2 0 1 "40"
"227" 116 82 19 1 2 6 "4" 2 1 1 "40"
"228" 116 83 20 2 1 6 "4" 2 1 1 "20"
"229" 116 83 20 3 1 7 "2" 2 1 1 "20"
"230" 116 84 21 4 1 6 "4" 2 1 1 "20"
"231" 116 85 22 5 1 6 "4" 1 1 1 "20"
"232" 117 57 15 1 2 6 "4" 2 1 2 "50"
"233" 117 69 27 4 1 6 "3" 1 1 2 "32"
"234" 117 72 30 5 2 6 "4" 2 1 1 "50"
"235" 117 74 32 6 2 6 "4" 2 0 2 "32"
"236" 117 78 36 8 1 6 "3" 1 1 1 "40"
"237" 117 80 38 9 2 6 "4" 2 1 1 "40"
"238" 117 80 38 10 2 6 "4" 1 1 2 "32"
"239" 125 76 25 1 2 7 "2" 2 1 1 "20"
"240" 127 75 15 1 2 7 "3" 2 0 2 "32"
"241" 127 76 16 3 2 6 "2" 1 0 2 "50"
"242" 127 78 18 5 2 6 "2" 1 0 2 "50"
"243" 127 79 19 6 2 9 "1" 1 0 2 "40"
"244" 127 83 23 8 2 6 "3" 1 0 2 "40"
"245" 127 83 23 9 2 4 "3" 1 0 2 "40"
"246" 127 84 24 11 2 6 "3" 1 1 2 "32"
"247" 130 44 14 1 2 7 "2" 2 0 2 "40"
"248" 130 48 18 2 2 7 "3" 1 0 2 "40"
"249" 130 50 20 3 2 9 "2" 1 0 2 "40"
"250" 130 53 23 4 2 7 "3" 1 0 1 "40"
"251" 130 56 26 5 2 7 "4" 1 1 1 "50"
"252" 130 60 30 6 2 7 "3" 2 1 1 "50"
"253" 130 69 39 7 2 7 "5" 2 1 1 "40"
"254" 133 57 14 1 2 6 "4" 1 0 2 "32"
"255" 133 57 14 2 2 6 "4" 1 1 1 "40"
"256" 133 59 16 3 2 6 "4" 1 1 1 "40"
"257" 133 65 22 8 2 6 "2" 1 0 2 "32"
"258" 133 65 22 9 2 6 "4" 1 0 2 "32"
"259" 133 65 22 10 2 6 "4" 1 0 2 "32"
"260" 133 66 23 11 2 6 "2" 1 0 2 "32"
"261" 133 67 24 12 2 6 "4" 1 0 2 "32"
"262" 133 67 24 13 2 6 "2" 2 0 2 "32"
"263" 133 67 24 15 2 6 "2" 1 0 2 "32"
"264" 133 67 24 16 2 6 "5" 1 0 2 "32"
"265" 133 68 25 17 2 6 "2" 2 0 2 "40"
"266" 133 68 25 18 2 6 "2" 1 1 2 "32"
"267" 133 68 25 19 1 6 "4" 3 1 2 "40"
"268" 133 72 29 20 1 6 "2" 1 0 2 "32"
"269" 133 73 30 21 2 6 "2" 1 0 2 "32"
"270" 133 75 32 22 2 6 "2" 1 0 2 "32"
"271" 133 76 33 23 2 6 "1" 4 0 1 "10"
"272" 133 82 39 24 2 6 "4" 2 0 2 "20"
"273" 133 82 39 25 8 6 "4" 4 0 2 "10"
"274" 135 65 15 1 2 6 "2" 3 0 2 "32"
"275" 135 65 15 2 2 6 "2" 1 0 1 "50"
"276" 135 66 16 3 2 6 "3" 3 1 1 "50"
"277" 135 69 19 4 2 6 "3" 3 1 1 "50"
"278" 135 70 20 5 2 6 "2" 1 1 2 "50"
"279" 135 70 20 6 2 6 "3" 2 1 1 "50"
"280" 135 73 23 7 2 6 "2" 1 1 2 "50"
"281" 135 74 24 8 2 7 "4" 1 1 1 "50"
"282" 136 57 17 2 2 7 "4" 3 0 2 "40"
"283" 136 59 19 3 2 7 "3" 2 0 2 "32"
"284" 136 60 20 4 2 7 "3" 2 0 2 "32"
"285" 136 65 25 6 2 6 "5" 1 0 1 "40"
"286" 136 68 28 7 2 6 "2" 1 0 2 "32"
"287" 136 79 39 14 2 6 "2" 1 0 2 "40"
"288" 136 81 41 18 2 6 "3" 1 1 2 "40"
"289" 147 61 15 1 2 6 "3" 1 1 1 "32"
"290" 147 67 21 2 2 9 "3" 1 1 1 "20"
"291" 147 69 23 3 1 9 "3" 1 1 1 "20"
"292" 147 70 24 4 1 9 "3" 1 1 1 "20"
"293" 147 71 25 5 1 9 "3" 1 1 1 "20"
"294" 147 84 38 7 2 6 "4" 2 0 1 "32"
"295" 149 65 21 2 2 7 "4" 2 1 2 "40"
"296" 149 65 21 3 2 7 "4" 2 1 2 "50"
"297" 149 66 22 4 2 8 "4" 2 1 2 "50"
"298" 149 66 22 5 2 8 "4" 2 1 2 "40"
"299" 155 71 15 1 2 6 "2" 1 0 2 "32"
"300" 155 72 16 2 2 7 "2" 1 0 2 "32"
"301" 155 75 19 3 2 8 "2" 1 0 2 "31"
"302" 155 77 21 4 2 6 "2" 1 0 2 "40"
"303" 155 80 24 5 2 6 "2" 1 0 2 "50"
"304" 155 81 25 6 2 8 "2" 1 0 2 "32"
"305" 155 82 26 7 2 7 "3" 1 0 2 "32"
"306" 155 86 30 9 2 7 "2" 1 0 1 "50"
"307" 156 80 16 1 2 7 "4" 2 0 1 "40"
"308" 156 80 16 2 2 6 "4" 2 1 1 "40"
"309" 156 81 17 3 2 6 "4" 2 1 1 "50"
"310" 161 82 16 1 2 6 "4" 1 0 1 "32"
"311" 162 67 15 1 2 6 "5" 1 0 1 "32"
"312" 162 68 16 2 1 9 "5" 1 0 1 "20"
"313" 162 73 21 3 2 6 "4" 1 0 2 "32"
"314" 162 74 22 4 2 9 "2" 1 1 1 "32"
"315" 162 75 23 5 2 6 "4" 1 1 1 "32"
"316" 162 76 24 6 2 9 "4" 1 0 1 "32"
"317" 162 79 27 7 1 9 "2" 1 0 1 "32"
"318" 162 84 32 9 2 9 "2" 1 0 2 "32"
"319" 164 72 22 1 2 3 "2" 2 1 2 "20"
"320" 164 74 24 3 1 4 "3" 2 1 1 "20"
"321" 164 75 25 4 1 4 "3" 2 1 2 "20"
"322" 164 84 34 5 1 4 "3" 2 1 1 "10"
"323" 169 79 15 1 2 7 "3" 2 0 1 "32"
"324" 169 79 15 2 2 6 "3" 1 0 1 "32"
"325" 169 80 16 3 2 7 "3" 2 0 1 "32"
"326" 169 86 22 4 2 7 "2" 2 0 1 "32"
"327" 170 52 15 1 2 9 "2" 1 0 1 "40"
"328" 170 56 19 3 8 9 "3" 3 0 2 "32"
"329" 170 57 20 4 8 9 "3" 3 0 1 "32"
"330" 170 63 26 5 1 6 "3" 3 0 1 "20"
"331" 170 67 30 6 1 6 "2" 1 0 2 "20"
"332" 170 70 33 7 8 9 "3" 1 1 2 "32"
"333" 170 73 36 8 8 9 "2" 1 0 2 "32"
"334" 170 82 45 9 2 9 "2" 1 0 2 "32"
"335" 170 84 47 10 8 9 "2" 1 1 2 "31"
"336" 172 79 15 1 2 6 "2" 1 0 1 "32"
"337" 174 42 14 1 2 9 "2" 2 0 2 "40"
"338" 174 48 20 3 2 8 "4" 1 1 2 "32"
"339" 174 51 23 4 2 7 "4" 1 1 2 "32"
"340" 174 52 24 5 2 8 "5" 1 1 2 "50"
"341" 174 56 28 7 2 8 "4" 2 1 1 "40"
"342" 174 73 45 8 2 6 "4" 2 1 2 "40"
"343" 181 56 15 1 2 7 "2" 1 1 1 "32"
"344" 181 60 19 2 2 9 "4" 1 1 1 "40"
"345" 181 63 22 3 2 7 "2" 1 1 2 "40"
"346" 181 65 24 4 2 7 "4" 2 1 2 "32"
"347" 181 67 26 5 2 9 "5" 1 1 1 "40"
"348" 181 72 31 7 2 6 "4" 1 1 1 "32"
"349" 181 77 36 8 1 9 "5" 1 1 1 "32"
"350" 183 69 14 1 2 6 "2" 1 0 2 "32"
"351" 183 76 21 2 2 6 "2" 2 1 2 "40"
"352" 183 76 21 3 2 6 "5" 2 0 2 "40"
"353" 183 85 30 5 2 6 "5" 2 0 2 "40"
"354" 185 76 19 2 2 9 "2" 1 0 2 "40"
"355" 185 76 19 3 2 6 "4" 2 1 1 "50"
"356" 185 76 19 4 2 6 "4" 2 1 1 "32"
"357" 185 78 21 5 2 3 "5" 2 1 1 "32"
"358" 188 62 17 1 2 6 "4" 1 0 1 "32"
"359" 188 64 19 2 1 6 "3" 1 1 1 "10"
"360" 188 72 27 3 2 6 "4" 1 1 1 "10"
"361" 188 74 29 4 1 9 "2" 1 1 1 "20"
"362" 189 82 16 1 2 9 "2" 1 0 2 "50"
"363" 189 84 18 3 2 9 "2" 1 0 2 "50"
"364" 189 86 20 5 2 6 "2" 1 0 2 "50"
"365" 189 86 20 7 2 6 "2" 1 0 2 "50"
"366" 190 66 16 1 2 7 "3" 1 1 2 "32"
"367" 190 70 20 2 2 9 "4" 1 1 2 "32"
"368" 190 73 23 3 2 9 "5" 1 1 2 "32"
"369" 190 73 23 4 2 8 "3" 1 1 2 "32"
"370" 190 75 25 5 2 9 "2" 1 1 2 "32"
"371" 190 78 28 6 2 8 "3" 1 1 2 "32"
"372" 192 62 15 1 2 7 "5" 1 1 2 "32"
"373" 192 66 19 2 1 9 "5" 2 0 1 "32"
"374" 192 70 23 3 1 7 "4" 2 0 2 "32"
"375" 192 70 23 4 1 7 "3" 1 1 1 "31"
"376" 194 81 16 1 2 6 "3" 1 0 2 "40"
"377" 194 83 18 3 2 6 "3" 1 0 2 "32"
"378" 194 83 18 4 2 6 "2" 1 0 2 "50"
"379" 194 83 18 5 2 4 "2" 1 0 2 "40"
"380" 194 85 20 7 2 4 "3" 1 0 2 "40"
"381" 195 72 15 1 2 6 "4" 3 0 2 "32"
"382" 195 76 19 2 2 6 "4" 1 1 1 "40"
"383" 195 77 20 3 2 6 "4" 3 0 2 "32"
"384" 195 78 21 4 2 6 "4" 1 1 2 "40"
"385" 205 61 17 1 2 7 "5" 2 0 1 "31"
"386" 205 65 21 2 1 7 "5" 2 0 1 "20"
"387" 205 70 26 3 1 8 "2" 2 0 1 "10"
"388" 205 84 40 4 1 6 "2" 2 0 1 "31"
"389" 212 81 15 1 2 6 "2" 1 0 1 "32"
"390" 212 82 16 2 2 6 "3" 2 1 1 "40"
"391" 212 84 18 3 2 9 "2" 1 0 1 "32"
"392" 216 57 15 1 2 7 "4" 1 1 2 "32"
"393" 216 63 21 2 2 7 "4" 1 1 2 "32"
"394" 216 64 22 3 2 7 "3" 1 1 1 "32"
"395" 216 65 23 4 2 7 "4" 1 1 2 "32"
"396" 216 67 25 5 2 7 "4" 1 1 2 "32"
"397" 217 52 14 1 2 6 "4" 1 0 1 "10"
"398" 217 57 19 3 1 6 "5" 1 0 1 "40"
"399" 217 58 20 4 2 8 "2" 1 1 2 "32"
"400" 217 63 25 5 2 9 "3" 1 0 2 "40"
"401" 217 64 26 6 1 7 "3" 1 0 1 "10"
"402" 220 65 19 1 2 6 "2" 1 0 2 "50"
"403" 220 65 19 2 2 6 "4" 1 0 1 "31"
"404" 220 66 20 3 2 6 "4" 1 0 1 "20"
"405" 220 69 23 4 1 6 "4" 2 0 1 "20"
"406" 220 70 24 5 2 6 "2" 1 0 2 "10"
"407" 220 71 25 7 1 6 "4" 1 0 2 "20"
"408" 220 76 30 8 1 6 "5" 2 0 1 "20"
"409" 220 83 37 9 1 6 "4" 2 0 2 "20"
"410" 220 84 38 10 1 5 "4" 2 1 1 "20"
"411" 221 56 15 1 2 7 "4" 1 1 1 "32"
"412" 221 56 15 2 2 7 "4" 1 1 2 "32"
"413" 221 67 26 3 2 7 "4" 1 1 2 "32"
"414" 223 77 20 1 1 8 "3" 3 0 1 "20"
"415" 223 78 21 2 2 5 "2" 2 1 1 "20"
"416" 223 79 22 3 1 5 "2" 2 1 1 "20"
"417" 223 82 25 4 2 5 "2" 2 1 1 "20"
"418" 226 74 23 5 1 6 "4" 1 1 1 "40"
"419" 226 76 25 6 1 6 "2" 2 1 2 "20"
"420" 226 78 27 9 2 6 "3" 1 1 1 "32"
"421" 226 80 29 10 2 6 "3" 1 1 1 "32"
"422" 226 84 33 11 2 9 "3" 2 0 1 "20"
"423" 228 44 14 1 2 7 "2" 2 0 1 "50"
"424" 228 46 16 2 2 7 "2" 1 1 2 "32"
"425" 228 47 17 3 2 7 "3" 1 1 1 "32"
"426" 228 50 20 4 2 7 "3" 1 1 1 "32"
"427" 228 51 21 5 2 6 "2" 1 1 2 "32"
"428" 228 57 27 6 2 6 "3" 1 1 2 "32"
"429" 228 62 32 7 2 6 "2" 1 1 2 "32"
"430" 228 62 32 8 2 6 "3" 1 1 2 "32"
"431" 228 67 37 9 2 6 "3" 1 1 2 "32"
"432" 228 72 42 10 2 6 "2" 1 1 2 "32"
"433" 228 73 43 11 2 6 "3" 1 1 2 "32"
"434" 228 74 44 12 2 6 "3" 1 1 2 "32"
"435" 228 74 44 13 2 6 "3" 1 1 2 "32"
"436" 228 84 54 15 2 6 "3" 1 1 2 "32"
"437" 229 52 15 1 2 7 "4" 1 1 2 "50"
"438" 229 54 17 2 2 7 "4" 1 1 1 "40"
"439" 229 57 20 5 2 7 "4" 1 1 1 "40"
"440" 229 58 21 6 2 8 "2" 1 1 2 "40"
"441" 229 60 23 7 2 7 "4" 1 1 1 "40"
"442" 229 68 31 8 1 7 "4" 1 1 2 "40"
"443" 229 80 43 9 2 9 "3" 1 1 1 "32"
"444" 229 84 47 10 1 6 "3" 1 1 2 "32"
"445" 230 81 16 2 2 6 "2" 1 0 2 "40"
"446" 230 82 17 3 2 9 "2" 1 0 2 "40"
"447" 230 83 18 5 2 9 "3" 2 0 1 "40"
"448" 231 79 16 1 2 6 "3" 1 1 2 "50"
"449" 231 81 18 3 2 6 "3" 1 1 2 "50"
"450" 233 75 24 1 1 9 "4" 2 1 1 "10"
"451" 233 80 29 3 1 9 "4" 2 0 1 "10"
"452" 234 81 16 1 2 6 "2" 1 0 2 "40"
"453" 246 75 16 1 2 6 "4" 2 0 2 "31"
"454" 246 76 17 2 2 6 "2" 1 0 1 "31"
"455" 246 77 18 3 2 6 "2" 1 0 2 "40"
"456" 246 86 27 4 1 6 "2" 2 1 1 "32"
"457" 253 66 25 2 2 9 "4" 3 0 1 "10"
"458" 253 66 25 3 1 9 "5" 3 0 1 "10"
"459" 253 69 28 4 2 9 "5" 3 0 1 "10"
"460" 253 70 29 5 1 9 "5" 3 0 1 "10"
"461" 253 70 29 6 1 7 "5" 3 0 1 "20"
"462" 253 72 31 7 1 9 "5" 3 0 1 "20"
